epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,221.586,0.34959,0.24971,0.98884,0.9885,1,0.995,0.98511,0.23051,0.1891,0.83957,0.00110919,0.00110919,0.00110919
171,222.893,0.37832,0.26462,1.01436,0.97959,0.97385,0.995,0.98748,0.22323,0.20647,0.84068,0.00110589,0.00110589,0.00110589
172,224.192,0.3421,0.25769,0.99397,0.99148,1,0.995,0.98217,0.2158,0.18206,0.84185,0.00110259,0.00110259,0.00110259
173,225.481,0.31496,0.2289,0.97769,0.99516,1,0.995,0.98515,0.22043,0.1729,0.84314,0.00109929,0.00109929,0.00109929
174,226.772,0.37117,0.25889,1.04192,0.98744,1,0.995,0.97045,0.25019,0.19523,0.8643,0.00109599,0.00109599,0.00109599
175,228.071,0.36381,0.25085,0.99789,0.98699,1,0.995,0.98471,0.2457,0.17857,0.86232,0.00109269,0.00109269,0.00109269
176,229.369,0.35145,0.25369,0.98196,0.99066,1,0.995,0.9859,0.24378,0.17677,0.85408,0.00108938,0.00108938,0.00108938
177,230.657,0.35629,0.25035,0.99126,0.98927,1,0.995,0.993,0.22404,0.19206,0.84612,0.00108608,0.00108608,0.00108608
178,231.968,0.35728,0.25216,1.02,0.98447,1,0.995,0.98996,0.23525,0.19409,0.84643,0.00108278,0.00108278,0.00108278
179,233.269,0.35165,0.2412,1.00274,0.98649,1,0.995,0.98594,0.23691,0.20453,0.84925,0.00107948,0.00107948,0.00107948
180,234.575,0.33987,0.25232,0.98628,0.98793,1,0.995,0.98238,0.22423,0.19303,0.83475,0.00107618,0.00107618,0.00107618
181,235.863,0.34906,0.24786,0.99681,0.98516,1,0.995,0.97808,0.24097,0.19273,0.84746,0.00107288,0.00107288,0.00107288
182,237.157,0.36515,0.26982,1.01224,0.98603,1,0.995,0.97668,0.2421,0.1911,0.85349,0.00106958,0.00106958,0.00106958
183,238.448,0.33648,0.24781,0.96669,0.95091,1,0.995,0.98075,0.23784,0.21544,0.84444,0.00106628,0.00106628,0.00106628
184,239.744,0.3385,0.24594,0.98615,0.95281,1,0.995,0.97764,0.25752,0.21498,0.86067,0.00106298,0.00106298,0.00106298
185,241.032,0.35597,0.25255,1.01263,0.954,1,0.995,0.97782,0.22446,0.19536,0.84232,0.00105968,0.00105968,0.00105968
186,242.347,0.32698,0.23901,0.98285,0.96361,0.97602,0.995,0.97313,0.2355,0.22739,0.85211,0.00105638,0.00105638,0.00105638
